flight_id,crew_id,assignment_role
F000017,C035,Cabin Crew
F000017,C047,Cabin Crew
F000018,C044,Captain
F000018,C061,First Officer
F000018,C002,Cabin Crew
F000018,C065,Cabin Crew
F000018,C012,Cabin Crew
F000019,C009,Captain
F000019,C076,First Officer
F000019,C007,Cabin Crew
F000019,C002,Cabin Crew
F000019,C066,Cabin Crew
F000020,C052,Captain
F000020,C076,First Officer
F000020,C004,Cabin Crew
F000020,C033,Cabin Crew
F000020,C003,Cabin Crew
F000021,C077,Captain
F000021,C062,First Officer
F000021,C066,Cabin Crew
F000021,C033,Cabin Crew
F000021,C007,Cabin Crew
F000022,C011,Captain
F000022,C001,First Officer
F000022,C008,Cabin Crew
F000022,C065,Cabin Crew
F000022,C060,Cabin Crew
F000023,C058,Captain
F000023,C028,First Officer
F000023,C040,Cabin Crew
F000023,C036,Cabin Crew
F000023,C027,Cabin Crew
F000024,C042,Captain
F000024,C061,First Officer
F000024,C051,Cabin Crew
F000024,C034,Cabin Crew
F000024,C054,Cabin Crew
F000025,C068,Captain
F000025,C055,First Officer
F000025,C010,Cabin Crew
F000025,C002,Cabin Crew
F000025,C047,Cabin Crew
F000026,C079,Captain
F000026,C055,First Officer
F000026,C027,Cabin Crew
F000026,C072,Cabin Crew
F000026,C071,Cabin Crew
F000027,C030,Captain
F000027,C059,First Officer
F000027,C066,Cabin Crew
F000027,C050,Cabin Crew
F000027,C006,Cabin Crew
F000028,C077,Captain
F000028,C017,First Officer
F000028,C064,Cabin Crew
F000028,C035,Cabin Crew
F000028,C054,Cabin Crew
F000029,C023,Captain
F000029,C076,First Officer
F000029,C012,Cabin Crew
F000029,C046,Cabin Crew
F000029,C006,Cabin Crew
F000030,C042,Captain
F000030,C055,First Officer
F000030,C022,Cabin Crew
F000030,C040,Cabin Crew
F000030,C047,Cabin Crew
F000031,C053,Captain
F000031,C015,First Officer
F000031,C006,Cabin Crew
F000031,C041,Cabin Crew
F000031,C014,Cabin Crew
F000032,C026,Captain
F000032,C067,First Officer
F000032,C049,Cabin Crew
F000032,C036,Cabin Crew
F000032,C018,Cabin Crew
F000033,C053,Captain
F000033,C076,First Officer
F000033,C018,Cabin Crew
F000033,C004,Cabin Crew
F000033,C012,Cabin Crew
F000034,C038,Captain
F000034,C069,First Officer
F000034,C049,Cabin Crew
F000034,C003,Cabin Crew
F000034,C066,Cabin Crew
F000035,C023,Captain
F000035,C080,First Officer
F000035,C039,Cabin Crew
F000035,C002,Cabin Crew
F000035,C040,Cabin Crew
F000036,C078,Captain
F000036,C029,First Officer
F000036,C006,Cabin Crew
F000036,C049,Cabin Crew
F000036,C046,Cabin Crew
F000037,C053,Captain
F000037,C017,First Officer
F000037,C040,Cabin Crew
F000037,C056,Cabin Crew
F000037,C065,Cabin Crew
F000038,C043,Captain
F000038,C025,First Officer
F000038,C072,Cabin Crew
F000038,C056,Cabin Crew
F000038,C021,Cabin Crew
F000039,C052,Captain
F000039,C067,First Officer
F000039,C018,Cabin Crew
F000039,C072,Cabin Crew
F000039,C005,Cabin Crew
F000040,C013,Captain
F000040,C020,First Officer
F000040,C027,Cabin Crew
F000040,C060,Cabin Crew
F000040,C045,Cabin Crew
F000041,C011,Captain
F000041,C017,First Officer
F000041,C006,Cabin Crew
F000041,C007,Cabin Crew
F000041,C045,Cabin Crew
F000042,C019,Captain
F000042,C020,First Officer
F000042,C054,Cabin Crew
F000042,C074,Cabin Crew
F000042,C004,Cabin Crew
F000043,C031,Captain
F000043,C001,First Officer
F000043,C054,Cabin Crew
F000043,C014,Cabin Crew
F000043,C034,Cabin Crew
F000044,C044,Captain
F000044,C048,First Officer
F000044,C047,Cabin Crew
F000044,C035,Cabin Crew
F000044,C018,Cabin Crew
F000045,C042,Captain
F000045,C061,First Officer
F000045,C036,Cabin Crew
F000045,C018,Cabin Crew
F000045,C056,Cabin Crew
F000046,C030,Captain
F000046,C073,First Officer
F000046,C033,Cabin Crew
F000046,C049,Cabin Crew
F000046,C051,Cabin Crew
F000047,C011,Captain
F000047,C076,First Officer
F000047,C008,Cabin Crew
F000047,C050,Cabin Crew
F000047,C046,Cabin Crew
F000048,C031,Captain
F000048,C028,First Officer
F000048,C066,Cabin Crew
F000048,C045,Cabin Crew
F000048,C003,Cabin Crew
F000049,C019,Captain
F000049,C055,First Officer
F000049,C008,Cabin Crew
F000049,C050,Cabin Crew
F000049,C012,Cabin Crew
F000050,C013,Captain
F000050,C001,First Officer
F000050,C036,Cabin Crew
F000050,C045,Cabin Crew
F000050,C003,Cabin Crew
F000051,C011,Captain
F000051,C062,First Officer
F000051,C066,Cabin Crew
F000051,C034,Cabin Crew
F000051,C040,Cabin Crew
F000052,C031,Captain
F000052,C001,First Officer
F000052,C075,Cabin Crew
F000052,C036,Cabin Crew
F000052,C018,Cabin Crew
F000053,C038,Captain
F000053,C029,First Officer
F000053,C018,Cabin Crew
F000053,C075,Cabin Crew
F000053,C004,Cabin Crew
F000054,C079,Captain
F000054,C080,First Officer
F000054,C027,Cabin Crew
F000054,C040,Cabin Crew
F000054,C074,Cabin Crew
F000055,C068,Captain
F000055,C017,First Officer
F000055,C075,Cabin Crew
F000055,C034,Cabin Crew
F000055,C007,Cabin Crew
F000056,C058,Captain
F000056,C017,First Officer
F000056,C037,Cabin Crew
F000056,C004,Cabin Crew
F000056,C007,Cabin Crew
F000057,C031,Captain
F000057,C076,First Officer
F000057,C074,Cabin Crew
F000057,C049,Cabin Crew
F000057,C018,Cabin Crew
F000058,C009,Captain
F000058,C029,First Officer
F000058,C045,Cabin Crew
F000058,C066,Cabin Crew
F000058,C075,Cabin Crew
F000059,C043,Captain
F000059,C067,First Officer
F000059,C008,Cabin Crew
F000059,C021,Cabin Crew
F000059,C006,Cabin Crew
F000060,C042,Captain
F000060,C073,First Officer
F000060,C074,Cabin Crew
F000060,C041,Cabin Crew
F000060,C046,Cabin Crew
F000061,C043,Captain
F000061,C061,First Officer
F000061,C074,Cabin Crew
F000061,C010,Cabin Crew
F000061,C050,Cabin Crew
F000062,C019,Captain
F000062,C028,First Officer
F000062,C072,Cabin Crew
F000062,C008,Cabin Crew
F000062,C047,Cabin Crew
F000063,C038,Captain
F000063,C028,First Officer
F000063,C010,Cabin Crew
F000063,C034,Cabin Crew
F000063,C036,Cabin Crew
F000064,C042,Captain
F000064,C029,First Officer
F000064,C008,Cabin Crew
F000064,C033,Cabin Crew
F000064,C047,Cabin Crew
F000065,C024,Captain
F000065,C062,First Officer
F000065,C035,Cabin Crew
F000065,C040,Cabin Crew
F000065,C063,Cabin Crew
F000066,C026,Captain
F000066,C076,First Officer
F000066,C075,Cabin Crew
F000066,C039,Cabin Crew
F000066,C018,Cabin Crew
F000067,C026,Captain
F000067,C029,First Officer
F000067,C056,Cabin Crew
F000067,C007,Cabin Crew
F000067,C065,Cabin Crew
F000068,C058,Captain
F000068,C067,First Officer
F000068,C071,Cabin Crew
F000068,C006,Cabin Crew
F000068,C046,Cabin Crew
F000069,C038,Captain
F000069,C032,First Officer
F000069,C054,Cabin Crew
F000069,C051,Cabin Crew
F000069,C033,Cabin Crew
F000070,C019,Captain
F000070,C017,First Officer
F000070,C003,Cabin Crew
F000070,C057,Cabin Crew
F000070,C072,Cabin Crew
F000071,C024,Captain
F000071,C062,First Officer
F000071,C004,Cabin Crew
F000071,C047,Cabin Crew
F000071,C036,Cabin Crew
F000072,C031,Captain
F000072,C055,First Officer
F000072,C004,Cabin Crew
F000072,C036,Cabin Crew
F000072,C047,Cabin Crew
F000073,C030,Captain
F000073,C016,First Officer
F000073,C002,Cabin Crew
F000073,C003,Cabin Crew
F000073,C034,Cabin Crew
F000074,C079,Captain
F000074,C062,First Officer
F000074,C049,Cabin Crew
F000074,C056,Cabin Crew
F000074,C035,Cabin Crew
F000075,C079,Captain
F000075,C028,First Officer
F000075,C021,Cabin Crew
F000075,C007,Cabin Crew
F000075,C051,Cabin Crew
F000076,C043,Captain
F000076,C029,First Officer
F000076,C003,Cabin Crew
F000076,C050,Cabin Crew
F000076,C034,Cabin Crew
F000077,C043,Captain
F000077,C059,First Officer
F000077,C039,Cabin Crew
F000077,C057,Cabin Crew
F000077,C071,Cabin Crew
F000078,C068,Captain
F000078,C048,First Officer
F000078,C046,Cabin Crew
F000078,C014,Cabin Crew
F000078,C035,Cabin Crew
F000079,C026,Captain
F000079,C025,First Officer
F000079,C005,Cabin Crew
F000079,C037,Cabin Crew
F000079,C063,Cabin Crew
F000080,C011,Captain
F000080,C070,First Officer
F000080,C010,Cabin Crew
F000080,C033,Cabin Crew
F000080,C012,Cabin Crew
F000081,C058,Captain
F000081,C080,First Officer
F000081,C002,Cabin Crew
F000081,C071,Cabin Crew
F000081,C004,Cabin Crew
F000082,C031,Captain
F000082,C059,First Officer
F000082,C014,Cabin Crew
F000082,C022,Cabin Crew
F000082,C057,Cabin Crew
F000083,C023,Captain
F000083,C073,First Officer
F000083,C072,Cabin Crew
F000083,C060,Cabin Crew
F000083,C046,Cabin Crew
F000084,C052,Captain
F000084,C062,First Officer
F000084,C037,Cabin Crew
F000084,C039,Cabin Crew
F000084,C027,Cabin Crew
F000085,C031,Captain
F000085,C061,First Officer
F000085,C034,Cabin Crew
F000085,C050,Cabin Crew
F000085,C047,Cabin Crew
F000086,C038,Captain
F000086,C001,First Officer
F000086,C002,Cabin Crew
F000086,C064,Cabin Crew
F000086,C005,Cabin Crew
F000087,C068,Captain
F000087,C020,First Officer
F000087,C049,Cabin Crew
F000087,C035,Cabin Crew
F000087,C022,Cabin Crew
F000088,C031,Captain
F000088,C061,First Officer
F000088,C036,Cabin Crew
F000088,C014,Cabin Crew
F000088,C072,Cabin Crew
F000089,C019,Captain
F000089,C073,First Officer
F000089,C022,Cabin Crew
F000089,C041,Cabin Crew
F000089,C057,Cabin Crew
F000090,C068,Captain
F000090,C059,First Officer
F000090,C046,Cabin Crew
F000090,C066,Cabin Crew
F000090,C004,Cabin Crew
F000091,C009,Captain
F000091,C015,First Officer
F000091,C034,Cabin Crew
F000091,C035,Cabin Crew
F000091,C039,Cabin Crew
F000092,C030,Captain
F000092,C070,First Officer
F000092,C036,Cabin Crew
F000092,C072,Cabin Crew
F000092,C007,Cabin Crew
F000093,C044,Captain
F000093,C017,First Officer
F000093,C065,Cabin Crew
F000093,C047,Cabin Crew
F000093,C037,Cabin Crew
F000094,C077,Captain
F000094,C029,First Officer
F000094,C004,Cabin Crew
F000094,C072,Cabin Crew
F000094,C074,Cabin Crew
F000095,C026,Captain
F000095,C017,First Officer
F000095,C075,Cabin Crew
F000095,C006,Cabin Crew
F000095,C066,Cabin Crew
F000096,C053,Captain
F000096,C032,First Officer
F000096,C005,Cabin Crew
F000096,C071,Cabin Crew
F000096,C074,Cabin Crew
F000097,C078,Captain
F000097,C001,First Officer
F000097,C041,Cabin Crew
F000097,C056,Cabin Crew
F000097,C074,Cabin Crew
F000098,C044,Captain
F000098,C073,First Officer
F000098,C057,Cabin Crew
F000098,C041,Cabin Crew
F000098,C066,Cabin Crew
F000099,C042,Captain
F000099,C073,First Officer
F000099,C018,Cabin Crew
F000099,C004,Cabin Crew
F000099,C007,Cabin Crew
F000100,C023,Captain
F000100,C016,First Officer
F000100,C066,Cabin Crew
F000100,C033,Cabin Crew
F000100,C063,Cabin Crew
F000101,C011,Captain
F000101,C067,First Officer
F000101,C071,Cabin Crew
F000101,C051,Cabin Crew
F000101,C075,Cabin Crew
F000102,C026,Captain
F000102,C028,First Officer
F000102,C050,Cabin Crew
F000102,C074,Cabin Crew
F000102,C033,Cabin Crew
F000103,C077,Captain
F000103,C073,First Officer
F000103,C041,Cabin Crew
F000103,C047,Cabin Crew
F000103,C045,Cabin Crew
F000104,C044,Captain
F000104,C020,First Officer
F000104,C071,Cabin Crew
F000104,C072,Cabin Crew
F000104,C008,Cabin Crew
F000105,C026,Captain
F000105,C067,First Officer
F000105,C075,Cabin Crew
F000105,C046,Cabin Crew
F000105,C004,Cabin Crew
F000106,C019,Captain
F000106,C080,First Officer
F000106,C002,Cabin Crew
F000106,C054,Cabin Crew
F000106,C021,Cabin Crew
F000107,C078,Captain
F000107,C017,First Officer
F000107,C014,Cabin Crew
F000107,C057,Cabin Crew
F000107,C041,Cabin Crew
F000108,C068,Captain
F000108,C061,First Officer
F000108,C010,Cabin Crew
F000108,C012,Cabin Crew
F000108,C049,Cabin Crew
F000109,C053,Captain
F000109,C020,First Officer
F000109,C008,Cabin Crew
F000109,C007,Cabin Crew
F000109,C018,Cabin Crew
F000110,C042,Captain
F000110,C067,First Officer
F000110,C046,Cabin Crew
F000110,C012,Cabin Crew
F000110,C039,Cabin Crew
F000111,C011,Captain
F000111,C048,First Officer
F000111,C006,Cabin Crew
F000111,C071,Cabin Crew
F000111,C049,Cabin Crew
F000112,C058,Captain
F000112,C059,First Officer
F000112,C007,Cabin Crew
F000112,C064,Cabin Crew
F000112,C063,Cabin Crew
F000113,C038,Captain
F000113,C059,First Officer
F000113,C047,Cabin Crew
F000113,C040,Cabin Crew
F000113,C041,Cabin Crew
F000114,C011,Captain
F000114,C067,First Officer
F000114,C075,Cabin Crew
F000114,C060,Cabin Crew
F000114,C056,Cabin Crew
F000115,C078,Captain
F000115,C076,First Officer
F000115,C006,Cabin Crew
F000115,C060,Cabin Crew
F000115,C056,Cabin Crew
F000116,C038,Captain
F000116,C070,First Officer
F000116,C060,Cabin Crew
F000116,C022,Cabin Crew
F000116,C065,Cabin Crew
F000117,C053,Captain
F000117,C016,First Officer
F000117,C050,Cabin Crew
F000117,C049,Cabin Crew
F000117,C012,Cabin Crew
F000118,C052,Captain
F000118,C028,First Officer
F000118,C007,Cabin Crew
F000118,C018,Cabin Crew
F000118,C075,Cabin Crew
F000119,C038,Captain
F000119,C076,First Officer
F000119,C074,Cabin Crew
F000119,C071,Cabin Crew
F000119,C040,Cabin Crew
F000120,C026,Captain
F000120,C073,First Officer
F000120,C071,Cabin Crew
F000120,C008,Cabin Crew
F000120,C036,Cabin Crew
F000121,C042,Captain
F000121,C020,First Officer
F000121,C033,Cabin Crew
F000121,C037,Cabin Crew
F000121,C047,Cabin Crew
F000122,C024,Captain
F000122,C015,First Officer
F000122,C064,Cabin Crew
F000122,C072,Cabin Crew
F000122,C014,Cabin Crew
F000123,C078,Captain
F000123,C029,First Officer
F000123,C040,Cabin Crew
F000123,C041,Cabin Crew
F000123,C035,Cabin Crew
F000124,C068,Captain
F000124,C059,First Officer
F000124,C063,Cabin Crew
F000124,C074,Cabin Crew
F000124,C045,Cabin Crew
F000125,C011,Captain
F000125,C029,First Officer
F000125,C063,Cabin Crew
F000125,C056,Cabin Crew
F000125,C012,Cabin Crew
F000126,C058,Captain
F000126,C016,First Officer
F000126,C074,Cabin Crew
F000126,C072,Cabin Crew
F000126,C014,Cabin Crew
F000127,C078,Captain
F000127,C062,First Officer
F000127,C045,Cabin Crew
F000127,C041,Cabin Crew
F000127,C040,Cabin Crew
F000128,C078,Captain
F000128,C025,First Officer
F000128,C046,Cabin Crew
F000128,C074,Cabin Crew
F000128,C002,Cabin Crew
F000129,C044,Captain
F000129,C028,First Officer
F000129,C037,Cabin Crew
F000129,C075,Cabin Crew
F000129,C050,Cabin Crew
F000130,C011,Captain
F000130,C025,First Officer
F000130,C006,Cabin Crew
F000130,C004,Cabin Crew
F000130,C034,Cabin Crew
F000131,C068,Captain
F000131,C062,First Officer
F000131,C003,Cabin Crew
F000131,C006,Cabin Crew
F000131,C007,Cabin Crew
F000132,C043,Captain
F000132,C020,First Officer
F000132,C065,Cabin Crew
F000132,C051,Cabin Crew
F000132,C010,Cabin Crew
F000133,C031,Captain
F000133,C048,First Officer
F000133,C003,Cabin Crew
F000133,C071,Cabin Crew
F000133,C008,Cabin Crew
F000134,C024,Captain
F000134,C048,First Officer
F000134,C075,Cabin Crew
F000134,C041,Cabin Crew
F000134,C007,Cabin Crew
F000135,C043,Captain
F000135,C015,First Officer
F000135,C056,Cabin Crew
F000135,C034,Cabin Crew
F000135,C049,Cabin Crew
F000136,C013,Captain
F000136,C080,First Officer
F000136,C054,Cabin Crew
F000136,C071,Cabin Crew
F000136,C063,Cabin Crew
F000137,C079,Captain
F000137,C061,First Officer
F000137,C071,Cabin Crew
F000137,C027,Cabin Crew
F000137,C035,Cabin Crew
F000138,C023,Captain
F000138,C020,First Officer
F000138,C005,Cabin Crew
F000138,C021,Cabin Crew
F000138,C039,Cabin Crew
F000139,C077,Captain
F000139,C055,First Officer
F000139,C051,Cabin Crew
F000139,C033,Cabin Crew
F000139,C049,Cabin Crew
F000140,C011,Captain
F000140,C067,First Officer
F000140,C007,Cabin Crew
F000140,C034,Cabin Crew
F000140,C057,Cabin Crew
F000141,C023,Captain
F000141,C059,First Officer
F000141,C012,Cabin Crew
F000141,C046,Cabin Crew
F000141,C041,Cabin Crew
F000142,C078,Captain
F000142,C061,First Officer
F000142,C006,Cabin Crew
F000142,C022,Cabin Crew
F000142,C018,Cabin Crew
F000143,C058,Captain
F000143,C001,First Officer
F000143,C072,Cabin Crew
F000143,C046,Cabin Crew
F000143,C051,Cabin Crew
F000144,C078,Captain
F000144,C055,First Officer
F000144,C035,Cabin Crew
F000144,C060,Cabin Crew
F000144,C057,Cabin Crew
F000145,C077,Captain
F000145,C015,First Officer
F000145,C003,Cabin Crew
F000145,C066,Cabin Crew
F000145,C050,Cabin Crew
F000146,C026,Captain
F000146,C073,First Officer
F000146,C022,Cabin Crew
F000146,C037,Cabin Crew
F000146,C064,Cabin Crew
F000147,C052,Captain
F000147,C017,First Officer
F000147,C075,Cabin Crew
F000147,C057,Cabin Crew
F000147,C018,Cabin Crew
F000148,C024,Captain
F000148,C001,First Officer
F000148,C039,Cabin Crew
F000148,C010,Cabin Crew
F000148,C027,Cabin Crew
F000149,C038,Captain
F000149,C073,First Officer
F000149,C056,Cabin Crew
F000149,C007,Cabin Crew
F000149,C010,Cabin Crew
F000150,C013,Captain
F000150,C048,First Officer
F000150,C004,Cabin Crew
F000150,C006,Cabin Crew
F000150,C049,Cabin Crew
F000151,C026,Captain
F000151,C028,First Officer
F000151,C063,Cabin Crew
F000151,C075,Cabin Crew
F000151,C022,Cabin Crew
F000152,C058,Captain
F000152,C017,First Officer
F000152,C040,Cabin Crew
F000152,C027,Cabin Crew
F000152,C057,Cabin Crew
F000153,C023,Captain
F000153,C001,First Officer
F000153,C021,Cabin Crew
F000153,C050,Cabin Crew
F000153,C065,Cabin Crew
F000154,C030,Captain
F000154,C025,First Officer
F000154,C072,Cabin Crew
F000154,C075,Cabin Crew
F000154,C027,Cabin Crew
F000155,C043,Captain
F000155,C080,First Officer
F000155,C041,Cabin Crew
F000155,C063,Cabin Crew
F000155,C018,Cabin Crew
F000156,C077,Captain
F000156,C062,First Officer
F000156,C018,Cabin Crew
F000156,C066,Cabin Crew
F000156,C033,Cabin Crew
F000157,C043,Captain
F000157,C001,First Officer
F000157,C063,Cabin Crew
F000157,C004,Cabin Crew
F000157,C045,Cabin Crew
F000158,C053,Captain
F000158,C029,First Officer
F000158,C034,Cabin Crew
F000158,C046,Cabin Crew
F000158,C008,Cabin Crew
F000159,C024,Captain
F000159,C017,First Officer
F000159,C005,Cabin Crew
F000159,C027,Cabin Crew
F000159,C003,Cabin Crew
F000160,C009,Captain
F000160,C067,First Officer
F000160,C010,Cabin Crew
F000160,C008,Cabin Crew
F000160,C014,Cabin Crew
F000161,C038,Captain
F000161,C055,First Officer
F000161,C063,Cabin Crew
F000161,C033,Cabin Crew
F000161,C066,Cabin Crew
F000162,C053,Captain
F000162,C016,First Officer
F000162,C074,Cabin Crew
F000162,C064,Cabin Crew
F000162,C022,Cabin Crew
F000163,C009,Captain
F000163,C029,First Officer
F000163,C060,Cabin Crew
F000163,C066,Cabin Crew
F000163,C046,Cabin Crew
F000164,C031,Captain
F000164,C073,First Officer
F000164,C012,Cabin Crew
F000164,C021,Cabin Crew
F000164,C066,Cabin Crew
F000165,C068,Captain
F000165,C076,First Officer
F000165,C037,Cabin Crew
F000165,C002,Cabin Crew
F000165,C010,Cabin Crew
F000166,C011,Captain
F000166,C080,First Officer
F000166,C027,Cabin Crew
F000166,C007,Cabin Crew
F000166,C075,Cabin Crew
F000167,C068,Captain
F000167,C073,First Officer
F000167,C034,Cabin Crew
F000167,C008,Cabin Crew
F000167,C022,Cabin Crew
F000168,C019,Captain
F000168,C025,First Officer
F000168,C051,Cabin Crew
F000168,C063,Cabin Crew
F000168,C002,Cabin Crew
F000169,C026,Captain
F000169,C015,First Officer
F000169,C027,Cabin Crew
F000169,C054,Cabin Crew
F000169,C056,Cabin Crew
F000170,C053,Captain
F000170,C067,First Officer
F000170,C027,Cabin Crew
F000170,C072,Cabin Crew
F000170,C075,Cabin Crew
F000171,C009,Captain
F000171,C076,First Officer
F000171,C064,Cabin Crew
F000171,C022,Cabin Crew
F000171,C014,Cabin Crew
F000172,C058,Captain
F000172,C080,First Officer
F000172,C066,Cabin Crew
F000172,C060,Cabin Crew
F000172,C074,Cabin Crew
F000173,C053,Captain
F000173,C032,First Officer
F000173,C037,Cabin Crew
F000173,C021,Cabin Crew
F000173,C064,Cabin Crew
F000174,C009,Captain
F000174,C017,First Officer
F000174,C072,Cabin Crew
F000174,C027,Cabin Crew
F000174,C021,Cabin Crew
F000175,C030,Captain
F000175,C069,First Officer
F000175,C050,Cabin Crew
F000175,C010,Cabin Crew
F000175,C027,Cabin Crew
F000176,C044,Captain
F000176,C069,First Officer
F000176,C065,Cabin Crew
F000176,C034,Cabin Crew
F000176,C057,Cabin Crew
F000177,C013,Captain
F000177,C001,First Officer
F000177,C047,Cabin Crew
F000177,C075,Cabin Crew
F000177,C008,Cabin Crew
F000178,C068,Captain
F000178,C070,First Officer
F000178,C047,Cabin Crew
F000178,C012,Cabin Crew
F000178,C060,Cabin Crew
F000179,C077,Captain
F000179,C020,First Officer
F000179,C006,Cabin Crew
F000179,C012,Cabin Crew
F000179,C071,Cabin Crew
F000180,C023,Captain
F000180,C015,First Officer
F000180,C014,Cabin Crew
F000180,C045,Cabin Crew
F000180,C002,Cabin Crew
F000181,C042,Captain
F000181,C028,First Officer
F000181,C050,Cabin Crew
F000181,C036,Cabin Crew
F000181,C040,Cabin Crew
F000182,C030,Captain
F000182,C015,First Officer
F000182,C054,Cabin Crew
F000182,C075,Cabin Crew
F000182,C037,Cabin Crew
F000183,C024,Captain
F000183,C073,First Officer
F000183,C060,Cabin Crew
F000183,C034,Cabin Crew
F000183,C003,Cabin Crew
F000184,C053,Captain
F000184,C067,First Officer
F000184,C065,Cabin Crew
F000184,C002,Cabin Crew
F000184,C040,Cabin Crew
F000185,C077,Captain
F000185,C073,First Officer
F000185,C075,Cabin Crew
F000185,C047,Cabin Crew
F000185,C056,Cabin Crew
F000186,C013,Captain
F000186,C073,First Officer
F000186,C056,Cabin Crew
F000186,C064,Cabin Crew
F000186,C063,Cabin Crew
F000187,C019,Captain
F000187,C062,First Officer
F000187,C064,Cabin Crew
F000187,C005,Cabin Crew
F000187,C060,Cabin Crew
F000188,C078,Captain
F000188,C020,First Officer
F000188,C005,Cabin Crew
F000188,C060,Cabin Crew
F000188,C056,Cabin Crew
F000189,C026,Captain
F000189,C061,First Officer
F000189,C005,Cabin Crew
F000189,C066,Cabin Crew
F000189,C008,Cabin Crew
F000190,C031,Captain
F000190,C073,First Officer
F000190,C064,Cabin Crew
F000190,C054,Cabin Crew
F000190,C014,Cabin Crew
F000191,C068,Captain
F000191,C017,First Officer
F000191,C065,Cabin Crew
F000191,C039,Cabin Crew
F000191,C060,Cabin Crew
F000192,C042,Captain
F000192,C076,First Officer
F000192,C034,Cabin Crew
F000192,C046,Cabin Crew
F000192,C021,Cabin Crew
F000193,C044,Captain
F000193,C016,First Officer
F000193,C010,Cabin Crew
F000193,C074,Cabin Crew
F000193,C051,Cabin Crew
F000194,C079,Captain
F000194,C032,First Officer
F000194,C021,Cabin Crew
F000194,C004,Cabin Crew
F000194,C063,Cabin Crew
F000195,C044,Captain
F000195,C070,First Officer
F000195,C054,Cabin Crew
F000195,C007,Cabin Crew
F000195,C012,Cabin Crew
F000196,C009,Captain
F000196,C001,First Officer
F000196,C035,Cabin Crew
F000196,C005,Cabin Crew
F000196,C074,Cabin Crew
F000197,C052,Captain
F000197,C059,First Officer
F000197,C064,Cabin Crew
F000197,C071,Cabin Crew
F000197,C033,Cabin Crew
F000198,C023,Captain
F000198,C032,First Officer
F000198,C027,Cabin Crew
F000198,C003,Cabin Crew
F000198,C018,Cabin Crew
F000199,C023,Captain
F000199,C061,First Officer
F000199,C071,Cabin Crew
F000199,C014,Cabin Crew
F000199,C041,Cabin Crew
F000200,C031,Captain
F000200,C076,First Officer
F000200,C066,Cabin Crew
F000200,C022,Cabin Crew
F000200,C027,Cabin Crew
F000201,C077,Captain
F000201,C069,First Officer
F000201,C054,Cabin Crew
F000201,C021,Cabin Crew
F000201,C050,Cabin Crew
F000202,C011,Captain
F000202,C061,First Officer
F000202,C051,Cabin Crew
F000202,C008,Cabin Crew
F000202,C037,Cabin Crew
F000203,C068,Captain
F000203,C016,First Officer
F000203,C051,Cabin Crew
F000203,C045,Cabin Crew
F000203,C040,Cabin Crew
F000204,C077,Captain
F000204,C032,First Officer
F000204,C035,Cabin Crew
F000204,C066,Cabin Crew
F000204,C033,Cabin Crew
F000205,C019,Captain
F000205,C070,First Officer
F000205,C007,Cabin Crew
F000205,C021,Cabin Crew
F000205,C033,Cabin Crew
F000206,C058,Captain
F000206,C032,First Officer
